35.191	151.1	1.0618	72.728	1.0112	85.778	-10.09	57.697	13.173	94.516	12.731	109.46	-18.44	50.544	-17.856	51.829	12.209	96.119	-23.829	39.855	-309.31	423.92	10.04	-107.63
68.412	160.06	40.897	117.23	32.579	102.31	23.13	89.715	41.263	117.57	47.963	130.23	23.818	87.549	19.871	82.299	51.646	134.63	16.261	76.521	82.522	474.95	28.958	-61.561
106.6	185.37	51.979	93.856	80.11	138.24	81.956	146.08	76.314	133.01	71.018	125.04	79.797	140.99	84.95	150.89	47.617	83.572	89.839	159.22	-117.58	-275.52	7.7718	-0.19713
46.998	78.722	89.394	152.86	85.339	145.44	99.136	167.71	77.997	130.05	70.665	120.56	103.95	174.66	104.92	177.21	79.865	131.33	110.79	186.65	329.05	-472.73	11.983	7.0117
43.366	102.65	34.497	81.711	19.974	62.278	16.483	54.452	27.508	72.415	33.711	83.32	19.965	57.183	15.416	54.917	40.211	95.007	16.137	51.864	211.3	211.82	25.285	-36.046
115.05	210.44	85.019	153.97	101.45	183.56	100.46	178.12	100.88	181.91	97.545	175.89	98.179	180.19	101.19	178.29	83.994	153.86	103.17	182.38	-449.54	-448.76	10.092	-7.7169
218.23	296.76	210.01	282.84	200.94	264.18	193.76	257.22	205.7	273.7	211.31	284.3	197.97	258.01	194.11	255.84	215.63	293.24	191.71	252.9	285.99	480.86	32.754	115.36
211.05	301.59	175.38	240.33	175.03	236.01	162.36	214.31	181.85	248.32	187.74	262.39	159.27	209.77	156.7	205.22	185.94	259.56	152.15	196.46	-97.178	365.55	16.11	91.054
63.685	93.401	114.5	180.42	103	162.05	117.24	184.85	95.756	149.96	92.464	141.44	120.78	194.99	125.19	197.85	101.86	161.2	131.7	206.68	425.08	-406.37	12.058	23.098
51.236	169.76	2.6038	87.945	9.9262	98.805	-4.3114	75.242	18.577	112.36	23.828	121.77	-8.5009	68.49	-10.501	65.285	14.46	109.22	-14.004	54.856	-443.13	390.33	13.767	-109.75
81.771	171.51	34.077	90.387	42.78	101.89	28.887	78.665	48.077	115.3	55.384	125.69	24.985	71.758	22.314	67.374	46.218	109.31	16.522	59.668	-295.35	202.67	14.058	-39.63
134.43	201.17	96.47	133.29	112.47	162.13	107.63	156.7	114.31	163.78	110.68	159.79	109.29	154.29	110.02	157.87	95.827	135.6	110.89	159.21	-266.77	-254.7	29.031	45.673
84.821	109.49	113.21	153.83	112.82	154.46	123.72	175.96	104.79	140.24	96.176	129.7	128.02	180.06	129.55	186.23	100.52	134.11	135.53	195.33	162.42	-402.81	25.082	55.338
